1	1	3
2	2	3
3	3	1
4	4	2
5	5	1
6	6	4
7	7	2
8	8	5
9	9	3
10	10	3
11	11	2
12	12	5
13	13	5
14	14	3
15	15	3
16	16	3
17	17	5
18	18	2
19	19	4
20	20	2
21	21	4
22	22	4
23	23	4
19	24	2
24	25	4
25	26	2
26	27	5
27	28	2
28	29	4
29	30	5
30	31	3
31	32	4
32	33	4
33	34	4
34	35	3
35	18	4
36	36	1
37	37	5
38	38	1
39	39	4
40	40	4
41	41	4
42	42	2
38	43	3
43	44	5
44	45	5
45	46	5
46	47	5
47	48	5
48	49	3
49	50	4
50	51	2
51	52	4
52	53	5
53	54	5
54	55	2
55	56	4
33	57	5
56	58	5
57	59	4
7	60	3
58	61	1
42	62	4
59	63	3
44	64	4
60	65	5
22	66	1
61	67	5
62	41	5
63	18	4
64	68	4
65	69	3
66	70	1
44	71	3
18	72	4
67	73	2
48	74	4
68	75	3
69	76	3
70	77	5
32	78	5
23	77	3
32	79	5
38	80	3
19	23	5
71	81	4
72	82	5
56	83	3
73	84	4
25	85	4
74	86	4
75	87	4
55	88	4
76	89	5
77	90	2
21	91	5
11	92	4
11	93	3
78	94	4
79	95	4
80	96	3
81	93	5
12	97	4
69	98	3
82	23	4
5	99	5
83	100	4
84	101	5
29	102	5
85	24	4
86	92	3
56	103	5
87	104	5
88	105	4
89	23	4
81	106	4
84	5	4
11	107	3
76	108	3
90	109	4
91	110	4
92	111	3
6	112	4
93	113	5
94	114	5
18	115	2
54	113	5
71	116	5
83	117	3
95	7	3
15	118	3
96	119	3
97	120	4
69	121	3
82	122	3
83	123	3
53	95	5
12	124	5
4	125	4
39	126	4
98	127	1
55	18	4
18	128	2
96	129	2
59	130	2
59	131	4
4	132	2
9	67	5
25	133	2
99	134	2
23	135	4
62	136	3
100	137	3
101	138	4
23	84	3
18	139	4
29	119	4
47	140	3
40	22	4
102	141	4
103	67	3
16	64	4
104	142	5
105	109	3
81	32	5
106	143	2
56	144	3
107	145	2
108	141	4
109	146	4
110	48	4
111	147	4
112	148	3
9	141	2
93	96	4
99	149	4
76	150	1
113	139	5
68	151	4
6	152	3
76	153	1
114	154	4
115	155	3
111	156	2
47	157	4
59	32	4
116	158	3
39	159	4
71	160	4
13	161	5
21	99	4
104	162	5
38	52	3
91	163	3
117	124	4
26	99	4
29	164	3
69	165	3
116	166	2
117	167	4
66	168	3
118	169	4
119	170	4
54	171	4
120	160	3
59	172	4
121	137	2
66	173	3
122	174	2
57	102	5
123	175	5
49	176	2
15	65	3
36	177	4
102	178	4
9	121	4
124	179	3
125	180	5
126	181	5
127	182	2
34	183	5
89	184	4
128	30	4
81	185	4
129	186	5
18	53	3
127	187	4
88	188	1
23	134	4
130	189	5
101	190	4
10	134	5
131	191	3
16	192	5
132	193	1
31	194	4
38	195	3
9	196	2
18	197	2
133	145	2
55	198	4
134	199	4
12	200	4
13	201	5
135	99	1
48	202	4
16	203	2
11	204	4
122	205	3
66	162	4
31	206	4
136	207	5
137	208	3
28	1	3
78	45	3
76	209	4
83	210	4
138	32	3
23	211	3
18	80	3
16	125	3
21	78	5
139	212	5
111	166	2
111	148	2
114	158	4
140	180	5
128	213	4
141	214	3
142	174	2
143	215	4
111	216	1
31	217	4
144	218	5
20	219	3
128	220	4
36	117	2
145	221	4
26	222	5
39	93	4
94	223	4
36	224	1
42	225	1
103	226	4
